polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,1,100.0%,0.50244140625,0.3246221814057907,To provide incentives and to allow for true change to be made. Not just conversation
2,2,95.2%,0.4032921810699588,0.2834961175015292,To have open dialogues with police about why they have negative feelings towards them. Share their personal experiences.
3,3,95.5%,0.39506172839506165,0.2816391043673539,First - ensure that young people feel safe/comfortable to scrutinise policing
4,12,100.0%,0.3918367346938775,0.15234712890848054,"do regular, independent investigations on police conduct and present data to young people so they can hold conversations about the findings."
5,16,100.0%,0.3703703703703704,0.10107322786740691,I think we need to look into the role of the police and how we want them to function in society- rewrite the policies
6,21,100.0%,0.3333333333333333,0.06824346084931983,We need more changes to policy and police engage more with young people
7,14,92.9%,0.33068783068783064,0.12995998712149104,"Have community police officers in schools create a rapport with the young people to build up trust and provide accountability, in all areas."
8,9,88.2%,0.3061224489795919,0.17342669436308833,educate young people on the history of policing so that they can identify negative/detrimental patterns in police behaviour.
9,6,90.5%,0.2916666666666667,0.23988995388062723,Involve them more in training.   Involve them more in spaces were policy’s are made.
9,5,90.5%,0.2916666666666667,0.26088542009703697,To offer the young people incentives
11,24,100.0%,0.28444444444444444,0.043316371087546816,Good detail Clear and thorough  The full truth
12,19,91.7%,0.27428571428571424,0.08940195356814189,Create a new policing system with key stakeholders including young people and especially black people.
13,4,85.7%,0.2625,0.2763370553005278,I had at least one encounter (good or bad) with the police.
14,27,100.0%,0.19999999999999998,0.0220331339320387,Global transparency is a must
15,8,88.9%,0.19047619047619047,0.1771018446816208,Have officers write briefs as to why they took the actions they did. Young people can look and then question them upon suitability of action
16,10,76.2%,0.1822916666666667,0.16449443246642656,Have talks with police officers at events to debate with them about the justice system and what may need to change
17,11,68.2%,0.17045454545454547,0.1634515670002523,English is my first language.
18,29,100.0%,0.16666666666666669,0.008293612529622628,It is to actively seek out and engage with young individuals to get their opinion and ideas with incentives
18,7,90.0%,0.16666666666666669,0.22351927268359578,"Give the young Londoners a chance to speak their mind to the police, tell them how they are feeling - incentives too"
20,30,100.0%,0.140625,0.007145887575531624,Allow them to be at the forefront of the decision making
21,13,83.3%,0.13775510204081634,0.1509977511798672,give them the autonomy and power to influence decisions made regarding policing
22,32,100.0%,0.12500000000000003,0.004233586925894617,Why are so many policemen also domestic abusers? Why are we allowing them to police us?
23,15,60.0%,0.10227272727272725,0.11465573834104119,"My ethnicity is Black, Black British, Caribbean or African."
24,26,63.6%,0.0846560846560846,0.025621509231722163,pan3l discussions where they can communicate without power dynamics
25,33,75.0%,0.08333333333333333,0.0031354693907102564,Diversity in policing
27,36,66.7%,0.0625,0.0007396449704142012,Eliminate bias - wider background check to see the type of people they are hiring
27,38,0.0%,0.0625,nan,I am between 25 and 29 years old.
27,37,0.0%,0.0625,nan,I am between 20 and 24 years old.
27,39,0.0%,0.0625,nan,Are you between 15 and 19 years old?
30,20,43.5%,0.027056277056277056,0.0696636942290844,My ethnicity is Mixed (Multiple ethnic groups).
31,17,54.5%,0.02435064935064935,0.09749504183465703,I am between 20 and 25 years old.
32,23,40.9%,0.020292207792207785,0.0511019392573831,I am between 15 and 19 years old.
33,18,56.5%,0.01803751803751804,0.09725100729110166,I identify as female.
34,25,43.8%,0.017006802721088426,0.037288445970653825,encourage young people into cadets so that they can develop rapports with people who can assist them in the scrutiny of police.
35,22,39.1%,0.008658008658008661,0.0609565192017375,I identify as male.
36,28,18.2%,0.003652597402597402,0.010119469413607769,My ethnicity is White.
37,31,13.6%,0.0032467532467532452,0.004391457954617203,My ethnicity is Asian or British Asian.
38,34,9.1%,0.001683501683501683,0.002058142526369951,My ethnicity is Arab.
39,35,9.1%,0.001217532467532467,0.0016906170752324597,My gender has changed since birth.
