polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,6,99.0%,0.930886640370434,0.11950960611541613,We should innovate to become more inclusive of nature and biodiversity in our city/town designs.
2,2,97.7%,0.920728126834997,0.13862108274972337,"There are large amounts of land are in public ownership in NZ that could be used to enhance biodiversity (e.g. roadside reserves, schools)"
3,89,100.0%,0.9180327868852459,0.00824673591667555,"We need to care for the foundations of the natural world (e.g. microbes, worms, beetles) and the insects, algae, lichens and other life at the bottom of the food chain, in addition to the big animals."
4,1,98.1%,0.9045573116464631,0.14087892909367614,Our physical and mental health and prosperity depends on our natural environment
5,88,98.7%,0.903225806451613,0.008247264968420506,I no longer accept that it is economy versus ecology. A healthy biodiverse environment is essential for farming sustainability.
6,43,98.9%,0.8941558441558443,0.04686942508640391,"More no-take marine reserves should be created, especially in the habitat of endangered animals, like Maui dolphins and endangered seabirds"
7,47,96.4%,0.8846308995562727,0.04099993876849436,The Strategy does not address the underlying economic incentives driving the continued loss of biodiversity e.g. through urban development
8,107,100.0%,0.8816326530612245,0.004475080244980759,"Land development must nourish the groundwater as a foundation for soil health, not drain it all to the sea."
9,5,98.0%,0.8654985398414685,0.12201731433392693,Biodiversity management decisions need to be informed by the best available information
10,8,96.3%,0.8608923884514434,0.11634745211809763,The Biodiversity Strategy should take an intergenerational view
11,4,96.7%,0.8602081148665,0.12314373300433266,"Biodiversity is not just a rural issue, there are many biodiversity problems in towns and cities"
12,33,96.7%,0.8550368550368551,0.06039581716408003,"Ownership of water rights should not allow degradation of the resource. Stronger management, quality and quantity standards are needed."
13,51,97.7%,0.8528428093645485,0.03783492637250506,"Instead of focusing on protecting flagship species, we should focus on protecting entire ecosystems, which may include those species."
14,100,95.2%,0.8368421052631579,0.005362795355518679,This isn't a Māori-and-Pākehā issue. It's an issue for all New Zealanders needing the diverse understanding that all cultures bring.
15,91,97.3%,0.8192090395480226,0.007658808955686386,"When profit is made from degrading our forest, oceans, waterways, land and air it should be taxed to fund restoration and repair"
