polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,9,97.5%,0.9015151515151515,0.19316371313626626,22. We need to adopt innovative and clean new water technologies and agriculture techniques now to ensure we have abundant and clean water supplies for the future
2,1,96.6%,0.897945205479452,0.23069335397790694,"3. All NZers have the right to access safe and clean freshwater from the tap for drinking, cooking, sanitation and watering plants."
3,2,96.5%,0.8924485125858123,0.2274656191740958,"I live within 20km of a freshwater body (Creek, Stream, lake, river)"
4,6,97.6%,0.869172932330827,0.20459626602680173,17. There should be greater accountability and enforcement of rules against pollution.
5,7,97.6%,0.868421052631579,0.20437893279516045,15. Some freshwater catchment areas are simply too ecologically important or unsuitable for certain water activities to take place.
6,3,96.6%,0.8619718309859155,0.22362048885394878,12. Protecting all endangered native freshwater flora and fauna is an urgent priority.
7,28,100.0%,0.8551136363636364,0.06300127293694617,"New developments must be required to comply with best practice management of erosion, sediment run-off and stormwater."
8,12,93.8%,0.8542986425339366,0.15793206394790194,14. We need a clear and inclusive National framework and institutions for making decisions about major water projects.
9,8,95.3%,0.843609022556391,0.2000141470453794,16. All interested parties including appropriate Maori groups should be involved in decisions about the sustainable and long term use of each water catchment.
10,37,100.0%,0.8198757763975155,0.01960000214553854,Encouraging wider use of rainwater harvesting and greywater recycling for uses outside of human consumption will save valuable potable water and reduce load on water infrastructure.
11,4,95.5%,0.8135714285714286,0.2111542118105673,5. Businesses that pollute water over a nationally accepted level should pay a penalty.
12,5,94.4%,0.8040540540540541,0.21024168590153955,1. There is a freshwater management crisis in New Zealand and something must be done about it.
13,10,95.1%,0.8038277511961722,0.17177264757518135,18. Those making profits from water extraction or using water as waste disposal should be paying for the privilege.
14,31,91.5%,0.7732558139534884,0.04705307233005923,NZ needs better integration of land and water management. Modern sources of water pollution largely stem from poor land management.
15,32,91.3%,0.7708333333333333,0.047014270156251384,"Citizens have a right to clean potable water for drinking, cooking & food growing. Water for ornamental gardens/lawns/car washing etc is a desirable luxury not a right."
16,34,90.9%,0.765625,0.03997798941026627,The 7 steps of the Freshwater Rescue Plan (by a cross sector alliance of advocacy groups) should be adopted 1. Set strict and enforceable standards. 2. End public irrigation subsidies. 3. Create an Agricultural Transition Fund. 4. Decrease cow numbers. 5. Create polluter pays systems. 6. Support regional councils. 7. Transition to a low-carbon economy https://www.freshwaterrescueplan.org/the-plan/
17,15,92.3%,0.7490234375,0.13767074726769632,8. Treaty of Waitangi commitments mean Maori access to clean waterways and freshwater food sources must be protected now and for future generations.
18,39,91.7%,0.7485380116959063,0.014827484152707024,Regional councils are underfunded and too political to ensure appropriate compliance and monitoring of environmental issues.
19,27,96.1%,0.7173913043478262,0.0659851644892801,Minimum flow requirements to protect freshwater ecosystems and recreational use should be set for all rivers and streams
20,14,86.1%,0.7106557377049181,0.1478462571299932,I do now or have in the past regularly used freshwater bodies for recreational activities
21,33,80.4%,0.6720867208672087,0.04010224303263593,"NZ should learn from countries with higher populations, like Australia and Europe, as to how best to protect water quality in urban areas"
22,13,89.2%,0.6708562450903377,0.15060590140120111,"2. All NZ waterways should be safe to swim, fish, boat or perform other recreational activities in."
23,16,88.2%,0.6631578947368421,0.11847141542798238,21. We need a national water fund contributed to by water polluters and extractors which would be used to improve water quality.
24,20,82.6%,0.6482758620689655,0.09386325448671998,20. Water should be held and governed collectively in trust for all citizens and we should all have equal say in its use and equal dividends in profits from its exploitation.
25,35,86.7%,0.625,0.0366846932700537,"Everyone has a right to access and use freshwater water resources, not just those who own land beside a river/stream or over an aquifer."
26,19,87.1%,0.6163793103448276,0.09577806795911747,9. More funds should be available to Iwi and other groups to enable Maori to play a more engaged role in protecting or restoring waterways.
27,38,77.1%,0.6060606060606061,0.019033050981727924,"The heavy use of weed control sprays, 1080 and Brodifacum by councils around our waterways needs to stop."
28,30,89.6%,0.6046511627906976,0.05304288734870336,No one should be granted private property rights over vital natural resources such as fresh water
29,17,81.0%,0.5608465608465608,0.11310802191665466,10. Treaty of Waitangi claims over ownership of freshwater resources must be resolved as was done with fisheries before a truly sustainable and effective allocation regime is possible.
30,11,89.4%,0.5317460317460319,0.1644369618401734,"I access tapwater from a town, rural or urban water supply"
31,22,70.1%,0.5292307692307693,0.08683598931528907,4. Businesses that meet acceptable national water quality standards should be rewarded to incentivise such behaviour.
32,21,72.7%,0.5229202037351443,0.09093523575983524,11. Waterways should have the inherent right to protection and conservation in an untouched state independently of people’s interests in them.
33,41,74.1%,0.505952380952381,0.009984025346127584,Heavy tax on water in plastic bottles
34,26,72.2%,0.45833333333333326,0.08020153265573426,24. Industrial water users like horticulture and farming need certainty of supply otherwise they cannot invest.
35,23,64.7%,0.4289080911233307,0.08391639704185684,"I have personally experienced issues of water quality (eg a boil water notice, a polluted local waterway or water-related gastro infection in the family)"
36,46,66.7%,0.41666666666666663,0.0041371654635321735,Irrigation can allow for higher value horticultural crops to be grown in a manner that reduces nutrient losses to water ways
37,25,70.3%,0.39054966248794604,0.08081681504252995,13. Industrial water users like horticulture and farming need certainty of supply otherwise they cannot invest.
48,63,100.0%,0.3333333333333333,0.0,Citizens have a right to clean potable water for drinking & cooking. Water for gardens/car washing etc is a desirable luxury not a right.
48,63,100.0%,0.3333333333333333,0.0,Water is a commodity
48,63,100.0%,0.3333333333333333,0.0,Irrigation can allow for higher value horticultural crops to be grown
48,63,100.0%,0.3333333333333333,0.0,The use of weed control sprays such as Roundup by councils around our waterways needs to stop.
48,63,100.0%,0.3333333333333333,0.0,Water of potable quality is not required for any plants or toilet flushing etc. We should consider rainwater harvesting such things.
48,63,100.0%,0.3333333333333333,0.0,No one should be granted private property rights over vital natural resources such as fresh water.
48,63,100.0%,0.3333333333333333,0.0,"NZ should learn from countries with higher populations, like Australia and Europe, as to how best to protect water quality in urban areas."
48,63,100.0%,0.3333333333333333,0.0,New urban development needs to include active stormwater and erosion/sediment control measures.
48,63,100.0%,0.3333333333333333,0.0,Foreign companies should be encouraged to invest & provide local jobs in water-consuming industries & farming.
48,63,100.0%,0.3333333333333333,0.0,The Monetisation and sale of are water supply will lead to the decline of New Zealand
48,63,100.0%,0.3333333333333333,0.0,Aquifers only have the ability to come back into balance over decades so a precautionary approach is required.
48,63,100.0%,0.3333333333333333,0.0,Gifting farmers to build irrigation with millions of taxpayer money is justified as it will benefit them.
48,63,100.0%,0.3333333333333333,0.0,There is not a freshwater management crisis in New Zealand and nothing needs to be done about it.
48,63,100.0%,0.3333333333333333,0.0,"Improvements in water quality are best achieved by improvements in land management practices, such as stormwater controls in urban areas."
48,63,100.0%,0.3333333333333333,0.0,The National Freshwater Policy Statement does not directly result in improvements to water quality.
48,63,100.0%,0.3333333333333333,0.0,NZ needs better integration of land and water management.  Modern sources of water pollution largely stem from poor land management.
48,63,100.0%,0.3333333333333333,0.0,Minimum flow requirements to protect freshwater ecosystems and recreational use should be set for all rivers and streams.
48,63,100.0%,0.3333333333333333,0.0,"Everyone has a right to access our freshwater water resource, not just those who own land beside a river/stream or over an aquifer."
48,63,100.0%,0.3333333333333333,0.0,Our waterways are too important to the ecological balance of our environment to allow private interests to exploit them for economic gain.
48,63,100.0%,0.3333333333333333,0.0,The amount of sprays councils use to control weeds around our waterways needs to stop. So is the heavy use of 1080 and Brodifacum.
48,63,100.0%,0.3333333333333333,0.0,I think the Government should stop funding big irrigation schemes.
59,29,57.1%,0.2513747054202671,0.058902636500951025,I am 30 years of age or older but less than 55
