polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,6,97.6%,0.861111111111111,0.17806720161109307,"The Brexit vote wasn't really about the EU, but was rather a proxy vote on various issues. Unfortunately they weren't all the same issues."
2,1,97.5%,0.8497298015591779,0.30444349446235003,The Northern Ireland/Republic of Ireland border is a huge issue that isn't being given enough attention.
3,4,95.3%,0.8130081300813008,0.24857309361265617,The idea of sovereignty is badly defined. What does it matter if we gain the theoretical freedom from European institutions if we end up practically constrained by those institutions in any event?
4,3,94.9%,0.8103695641418889,0.2703436226085511,"A free trade deal with the USA will be more restrictive and onerous than any EU arrangement, especially if negotiated under a Trump presidency."
5,2,96.3%,0.797543135783946,0.2933857733905045,I voted to Remain.
6,24,98.1%,0.7938294010889292,0.02728976218410138,The varied nature of EU institutions means everyone likes some parts of it and hates other parts (whether they know it or not).
7,19,96.6%,0.7542857142857142,0.032347406371231055,"""The EU"" as a concept is too big and too varied to be summed up simply, which is why an ""in/out"" vote was a stupid idea in the first place."
8,29,97.4%,0.7234615384615385,0.013476086574644178,A binary out/in vote where an ill-defined wishlist of lies & fantasies ran against a real flawed product of compromise was an awful idea
9,22,94.4%,0.7071307300509337,0.028137215180357087,The current Brexit negotiating team are woefully inadequate for the task in every aspect. Replacing them should be a priority.
10,27,94.0%,0.6666666666666666,0.022426355394814326,"Because of the way the referendum demographics broke down, both parties are in real danger that a political misstep could ruin them."
11,8,89.2%,0.6440251572327044,0.09407204926273477,"The EU referendum has split the electorate in ways that traditional party lines cannot capture, and we haven't yet worked out how to react as a nation."
12,32,94.1%,0.6380236305048334,0.010223378075274627,The referendum result produced no clear objectives for the Brexit negotiations. No options should be ruled out at this stage.
13,5,92.3%,0.6331606455162295,0.19483986082259697,The Single Market is important for the prosperity of the country.
14,33,94.4%,0.6293706293706294,0.010160523942879671,"EU may be unreformable, but principles of solidarity btw nations, FoM, common workers rights are so important we should try to salvage it"
15,36,92.9%,0.6111111111111112,0.006780112045796149,Labour's manifesto position allows them the freedom to reject any Brexit deal which could harm jobs in the UK
16,31,91.9%,0.5954415954415955,0.010648452653318098,"Tories don't care whether Brexit will be harmful as they believe there will be plenty of others to blame (eg. EU, Immigrants, Remainers)"
17,30,84.4%,0.5308333333333333,0.012709583255763565,"Opposition to Brexit as a whole won't stop it, but opposition to the component parts of it just might."
18,34,86.8%,0.48,0.009712406242510132,"Brexit was two projects in one - ""UK FTZ plc"" and ""let's make racism the core issue in British politics""."
19,9,82.9%,0.4619805481874447,0.09235575596234592,A referendum should not be binding for a decision of this magnitude.
20,14,79.1%,0.43333333333333335,0.048824031485937364,There should be a referendum on the final deal between the UK and the EU
