polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,3,98.2%,0.8672064777327936,0.2565437731119045,People who fall on hard times should have access to basic services in a timely manner. These should be funded by national taxes.
2,10,97.3%,0.836637047163363,0.18215256461109355,We should be following countries like Australia and the UK and ensuring multinationals pay their fair share of tax in New Zealand where people are using their services.
3,1,97.2%,0.8327050997782706,0.30418396141987214,"Good quality, accessible public services are the necessary foundations for any well-functioning nation"
4,72,97.3%,0.8067226890756302,0.005869215953898081,Tax rate thresholds should be adjustment by inflation each year (as per the UK) to ensure the proportion of tax paid remains the same
5,37,94.9%,0.7799070847851336,0.04693448031373536,Taxes need to be simple to understand and transparent
6,39,93.8%,0.7608225108225107,0.044472493751414925,Effective marginal tax rates (EMTR) matter.  The highest EMTRs are for those moving off a benefit.  A tax free threshold would help them.
7,2,95.1%,0.7414160549372484,0.2772210442608267,"Tax isn’t a weapon politicians use against the economy. It’s what we use to pool our resources and secure the things we need: schools, hospitals, homes and more."
8,49,93.3%,0.6831119544592031,0.024402999869864626,Secondary tax rates should be adjusted to reflect total income
9,51,87.0%,0.6691176470588235,0.02264632861308702,Lifting benefit abatement rates would encourage beneficiaries to transition to work and help lift them above the poverty line.
10,34,90.2%,0.6597222222222222,0.06329877174764857,Tax evasion by any means should be seen as a crime against the society.
11,46,92.6%,0.657608695652174,0.027553851020377905,"Consideration of the ""fairness"" of tax needs to include the full tax and transfer system - that is why we have benefits and WFF."
12,71,97.6%,0.6495726495726495,0.0063830975377013,"Company income tax is only 16% of the total tax take. Changes should be made to increase this, particularly from multi-national companies"
13,15,87.1%,0.6407460545193687,0.17136386919361765,"Local government is already under pressure to deliver many essential services, including local roading, water supplies and flood protection. These pressures are likely to increase with climate change. We're rated enough. Funding for local government needs to be sorted urgently."
14,23,86.1%,0.64026792750197,0.12024136427759578,Churches must pay tax. Companies like Sanitarium have utilised church exemptions  undermining other businesses and creating inequity
15,83,100.0%,0.6274509803921569,0.000924608478578926,"There should be a tax-free threshold of $20K. It's an incentive to  work, and cuts the bureaucracy of taxing then giving back in benefits"
16,36,91.8%,0.6156126482213439,0.05052289143113952,A gradual pollution tax for business to provide funds for cleaning up and to discourage pollution. The more pollution the higher the tax.
17,6,88.6%,0.6040760869565218,0.19258092519766717,"A broader tax base is needed to secure sufficient revenue for public services in the face challenges such as climate change, an aging population, changing employment patterns and new technologies."
18,86,85.7%,0.5892857142857143,0.0005878651405431388,GST on rates should be set at zero. Either that or the Government pass on to the Councils the GST portion on rates instalments collected.
19,84,93.3%,0.5833333333333333,0.0006069039548006732,all taxes should be structured to reduce inequality gradually over a decade or two by including wealth in their assessment
20,19,81.3%,0.5774891774891775,0.14149639570930675,"Tourism burdens NZ’s environment & essential infrastructure (roads, sewerage, water, health etc.) Impose an entry tax for all non citizens."
21,85,92.3%,0.5714285714285714,0.0005880222615281091,"Wealthy individuals and companies have removed money from tax cuts, from our community, rather than re-investing, as Rogernomics promised."
22,30,77.6%,0.570292982057688,0.07878453531068527,Tax is an issue for all of us. The Tax Working Group written submission process is not sufficiently democratic and they should have designed a comprehensive public engagement process
23,14,84.4%,0.5678571428571428,0.1777361820059678,Tax exemptions for low income households should be increased to help overcome inequalities
24,5,67.7%,0.552341854823661,0.20581001462653187,I own property
25,54,72.8%,0.5102040816326531,0.01918589810064195,Helping communities take responsibility for their issues should mean more funding from taxes being controlled locally instead of centrally.
26,74,62.7%,0.4958677685950413,0.005735769278405347,A wealth tax on savings from already taxed income is unfair and unreasonably punishes / discourages positive economic behaviour
27,47,88.6%,0.46070656092285506,0.026746326962468966,"in 2013 107 out of 161 high-wealth individuals, declared less $70,000 income. Find people like this & tax them. http://bit.ly/taxavoiders12"
28,4,88.7%,0.45307443365695793,0.22999533507953399,"NZ’s current tax settings have encouraged property speculation, which has contributed to making housing unaffordable for many New Zealanders."
29,25,65.0%,0.4528532608695652,0.10392896078975022,"We need to encourage start-ups and self-employment by cutting taxes on new small businesses, increasing them to normal gradually over time."
30,18,83.3%,0.4426899760327083,0.15355939808401825,"Our top tax bracket is 33% from $70,001. Our median income is only a bit more than $20,000 less than that. We need another tax bracket."
31,87,93.3%,0.44117647058823534,0.0005680255568996535,I am prepared to pay a higher tax rate to improve our public services
32,56,75.0%,0.439882697947214,0.01874590006287892,Small businesses hiring beneficiaries should be incentivised through tax
33,8,90.7%,0.4375,0.18922415457100536,"NZ’s current tax settings have contributed to growing income, wealth and social inequalities."
34,67,71.2%,0.43137254901960786,0.011121256747384789,"Capital gains tax, if implemented, should only be incurred at the point of sale of property"
35,22,74.2%,0.4222222222222222,0.12360664173799282,Digital technologies should make it possible to efficiently collect taxes even if there are lots of different rates and exemptions.
36,32,66.1%,0.4194455604660506,0.06790600872650492,the tax working group should have included a random selection ordinary citizens not just politicians and experts
37,28,78.7%,0.4185214626391097,0.08600168016456501,"A Tobin tax on financial transactions should be introduced to discourage international speculation, which can wreak havoc with NZ’s exchange rate and economy."
38,21,71.0%,0.4014652014652014,0.13117361756105436,The GST rate should be reduced as GST is a regressive tax that impacts low income families most.
39,38,71.8%,0.3857142857142858,0.044559445070421574,"Whereas workers pay income tax, the robots / machines that replace them do not. May be there should be a production tax, a VAT on value created"
40,7,84.7%,0.38391608391608395,0.18949246343953244,Business innovation and new technologies mean that workers will be out of work more often and need to retrain. This will reduce revenue from income tax. New ways of supporting these workers will need to be found (e.g. a universal basic income) and paid for.
41,45,53.8%,0.37735849056603776,0.03246466003943166,"It is not a lack of tax income that leads to underfunded services, but rather the choices made by government on what are priorities to fund"
42,9,84.3%,0.3692598276472671,0.18382899039461004,"The most glaring hole in New Zealand’s tax system, from a fairness point of view, is the failure to tax wealth in any form, except for the government’s very minimal tax on houses sold within two years of purchase."
43,44,64.6%,0.36677454153182315,0.03466780916578661,The GST should be removed from basic foods. It is a regressive tax that hits the poor hardest.
44,20,85.6%,0.36313291139240506,0.13168882102824334,Our tax system should ensure wealth does not become concentrated and warp our society
45,82,70.4%,0.36,0.0015337194998343356,"No tax exemption for charities.  Services now done by charities eg Refuge would be funded by the tax, & Sanitarium etc would pay fair tax."
46,13,65.4%,0.3585434173669468,0.17784723206814992,I live in a major city
47,12,85.5%,0.3426597582037996,0.18061153408361394,The total tax take needs to increase as public services such as health and education have been underfunded for years.
48,73,77.1%,0.33333333333333337,0.005774726131706545,NZ should reduce tax on income and increase it on wealth and pollution.
75,120,100.0%,0.3333333333333333,0.0,"Results of cutting the size of Government. Slower growth than other OECD countries, costly services, poverty, and collapsing infrastructure"
