polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,33,100.0%,0.781163434903047,0.02696267661580459,Place housing and housing affordability as a key consideration in macro policy making and planning.
2,21,96.6%,0.7729285262492094,0.04967997744896331,It is important that focusing on lowering costs (e.g. materials) doesn't make us lose sight of housing quality.
3,50,100.0%,0.7486111111111111,0.015908049678017264,"Firstly, recognise that universal access to healthy, affordable housing (owned or rented) should be a goal of any political party or NZ govt"
4,35,98.9%,0.7020348837209303,0.026289389348020335,The negative social and economic impacts of un-affordable housing needs to be on the table.
5,12,96.4%,0.6912383297424849,0.07391469707493512,Agencies of the Crown and Local Government (CCOs) need to have a clear mandate to deliver community centered outcomes.
6,44,96.0%,0.6826625386996904,0.018324089401142243,Policy makers should consider all location-related costs when attempting to address housing affordability.
7,3,94.6%,0.6815346401114957,0.12468365181379353,New Zealand’s housing market needs urgent reform to ensure that the rate of building keeps up with household formation and demographics.
8,31,97.9%,0.6806662329918145,0.029978353248410052,"There is a requirement to develop a rental market that delivers secure, affordable and healthy housing for low to moderate income earners."
9,57,96.8%,0.6529295589203423,0.013460341402304392,"Jib board costs are many, many times higher in NZ than Australia, US and EU. Monopoly practices seem to be behind this."
10,32,95.8%,0.6475540596615796,0.026978205900198157,"Greater provision is required for emergency housing, social housing (not just government provided) and assisted home ownership."
11,54,96.9%,0.6470046082949309,0.01426824714921959,Policy responses must be based on strong evidence for setting local and affordable housing supply targets.
12,46,95.9%,0.6140350877192982,0.017208534522030503,"Policy responses required to address the interactions between housing and broader economic, social and environmental goals of government."
13,8,89.5%,0.6130048339310775,0.09413598119712963,Developing a non-partisan “homes accord” that all political parties can sign-up to and which aims to address the affordability issue with long-term solutions is a vital piece of the affordability jigsaw.
14,2,94.2%,0.6023928215353939,0.126627654572362,To solve the problem requires real leadership with a long-term focus and commitment that is at odds with NZ’s central and local government electoral cycles.
15,61,93.4%,0.5869047619047619,0.011116835578110216,"Innovative methods for housing need to be encouraged and monitored by local and national government. Such as laneway houses, tiny houses and co-housing arrangements."
16,67,94.2%,0.5685131195335277,0.008661044708293443,Current Government initiatives are inadequate to meet the housing needs of New Zealand's poorest families.
17,68,98.0%,0.5658709106984969,0.008439157721859242,"NZ Govt will have financial benefits in terms of health, community, education and crime as a return on investment in state housing."
18,39,95.5%,0.5509850275807722,0.024496867065059436,"$500,000 is not an affordable house."
19,1,93.7%,0.542252058452637,0.14693547175806373,Property speculation is artificially driving up the price of houses since housing offers investors some of the best passive returns on offer.
20,59,88.2%,0.49999999999999994,0.012916296009918215,Deliver flexible tailored policy responses that facilitate different policy responses in different regions and housing markets.
