polis_rank,bridging_rank,approval_rate,polis_score,bridging_score,comment
1,175,100.0%,0.9337068160597571,0.0011339288237973946,"In Regionen mit Trockenheitsproblem Regenwasser-Speicher errichten, nicht mehr automatisch Regenwasser in den Kanal ableiten."
2,72,97.6%,0.902668759811617,0.005982750045255329,"Förderung von Regenwasserspeicher. Nutzen des Regenwassers wenn trocken statt ableiten besser für das Grundwasser, bei versiegelten Flächen."
3,143,99.0%,0.9019088016967125,0.0019242230755130256,Baumaterial von Baustellen und Abbruchhäusern recyclen und wieder verwenden.
4,79,96.9%,0.8830769230769231,0.005117916469957787,"Bau-Sondermüll vermeiden, indem Anreize gesetzt werden, wiederverwert- und gut voneinander trennbare Materialien zu verwenden"
5,172,98.7%,0.8805346700083542,0.0011848719500428637,Beim Abbruch/Umbau werden wertvollste Baustoffe/Einrichtungen entsorgt. Sammelstellen für die Wiederverwertung fehlen. Upcycling ist Zukunft
6,73,96.9%,0.8782098312545854,0.005758019565192433,"Energieüberschuss sollte auch ins öffent.. Stromnetz eingespeist werden dürfen, dafür sollten bestehende Hürden wegfallen!!!"
7,187,96.7%,0.8636363636363636,0.0008616536399512301,"Gütesiegel vereinfachen, vereinheitlichen und verständlich machen."
8,99,93.5%,0.8614190687361419,0.0036811158212339667,Wohnen soll Freude machen
9,145,97.2%,0.8435517970401691,0.0019165394447574627,"Äußere Beschattung (Bäume, Jalousien, Fensterläden) reduzieren die Sommerhitze in den Wohnräumen."
10,67,96.1%,0.8412247474747474,0.006334928059802599,"Verkehrs-, Energie- und Raumplanung sind unter dem Aspekt einer energieeffizienten Siedlungsentwicklung aufeinander abzustimmen."
11,133,95.3%,0.8385882352941176,0.0020757984828181798,"Optimale Nutzung von Grauwasser in Neubauten u Regenwasser, statt Verschwendung"
12,254,96.7%,0.8333333333333333,0.00021914614157083487,"Bei Wasser, Wärme und Strom sollten die Firmen nicht durch die Zähler verdienen, sondern über den Verbrauch. Nur dann zahlt sich Sparen aus."
13,103,94.6%,0.8317204301075268,0.00340683909697195,"Förderung bei thermischer Sanierung privater Gebäude ist wichtig. Am besten wäre wohl eine Förderung durch KNOW-HOW, und schlanke Bürokratie"
14,96,96.4%,0.8297817047817048,0.003840173643628895,"Innenstädte sollen einen Mix aus Wohnungen, Geschäften, Kulturstätten, Büros, Betrieben, Erholungsorten, Grün... beinhalten."
15,76,95.7%,0.8296,0.00518267218689217,"Überhitzung durch entsprechende Planung und Bauausführung verhindern, dann braucht man nachher keine Klimaanlagen"
16,60,95.8%,0.8283333333333334,0.007457245898715345,Förderung bei energieautarken Bauen und sanieren
17,139,93.8%,0.8280060882800608,0.001975217592799352,"es kann aber auch eine Wärmepumpe, eine Bio-Masse Anlage sein  -> nicht nur PV"
18,27,93.3%,0.8271092669432919,0.028588602416111112,Rohstoffvorkommen und Deponieflächen sollten Raumplanerisch erfasst werden
19,209,96.4%,0.8205128205128205,0.0005775843107830263,Vor allem bei Mehrparteien-Häusern muss für eine gute Isolierung gesorgt werden sowie Sonnenpaneele auf Dächern und/oder Fassaden
20,74,95.3%,0.8178890876565296,0.005653842581534328,Moderne Mülltrennsysteme kommen der Kreislaufwirtschaft zu Gute
21,222,95.8%,0.8120300751879699,0.00044524971160567303,"Ausbau von Frühwarnsystemen (Hochwasser, Waldbrände, Pollen etc.)"
22,80,94.3%,0.8111423974255833,0.005080698829358763,PV-Anlagen sollten leistbarer werden.
23,126,94.5%,0.8024691358024691,0.0022823046317703177,Solarmodule für Warmwasser subventionieren und bekannt machen (sehr hoher Wirkungsgrad).
23,250,97.1%,0.8024691358024691,0.0002336357347089209,Stadtbäume regelmäßig gießen oder trockenresistente Bäume pflanzen.
25,122,91.4%,0.8020611229566452,0.0025177690659853318,Keine Gebäude in roten und orangen Hochwasserzonen.
26,43,92.6%,0.8020344287949922,0.018590530210798407,Städte: Naturnahe Spielplätze.
27,92,93.1%,0.7996880570409982,0.0041026455696900254,Die Schaffung und Gewährleistung der Infrastruktur für die Arbeit von zu Hause aus reduziert Emissionen durch den Verkehr zum Arbeitsplatz.
28,174,96.2%,0.7962529274004684,0.0011489689667375533,Einheitliches Baumschutzgesetz für ganz Österreich. Verpflichtende Aufforstung nach Rodung für Bau von Wohnungsanlagen und Supermärkten udgl
29,91,93.3%,0.7952702702702702,0.004182858970617972,versiegelte Flächen bei Supermärkten per Raumplanung verhindern. >Öffis >PKW im EG >Einkaufen im OG >Arzt im Dachgeschoss >Mehrfachnutzungen
30,148,94.2%,0.7898351648351648,0.0018729848321939854,"Förderung f. thermische Sanierung in Mehrparteienhäuser, sodass Leistbarkeit kein Hinderungsgrund ist."
31,134,91.6%,0.7850133809099018,0.0020373808610645227,"Ich hätte gerne eine unabhängige, objektive Energieberatung."
32,28,89.1%,0.7846120408606825,0.027986824268367738,Was nützt die Förderung wenn sie nur 6 Monate gültig ist aber die Lieferzeiten der div. Alternativen VIEL länger ????
33,4,94.0%,0.7828436339074637,0.07649084280772896,"Versiegelte Flächen müssen mehrfach genutzt werden. Bspw. Dächer oder Straßen wie die Autobahn mit Photovoltaikanlagen ausstatten, usw."
34,85,94.6%,0.771531100478469,0.004719267099163992,"Bessere Förderung von kreislauffähigem und ökologischem Bauen und Sanieren mit nachwachsenden Rohstoffen (NawaRos), diese binden CO2!"
35,155,94.9%,0.7672672672672673,0.0017055987634815731,"Dringend: ein landesweiter Flächenplan: wie viele Supermärkte, wie wenig geschützte Natur - Gemeinde müssen über ihre eigenen Grenzen sehen"
36,248,93.9%,0.7666666666666667,0.00023533904775771113,Alle Standards und Normen sollten kostenlos der Allgemeinheit (auch online) zugänglich gemacht werden. Dies würde z.B. Innovationen fördern.
37,61,93.8%,0.7640816326530612,0.007009635076883804,Sozialer Wohnbau soll Österreichweit mehr bauliche Qualität (klimafreundliche Materialien) aufweisen
38,83,95.2%,0.7631738340399759,0.004746514284150173,versiegelte Flächen bei Supermärkten per Raumplanung verhindern. gewonnene Fläche für Verdichtung nutzen >Flächenfrass verhindern
39,114,92.7%,0.7576576576576577,0.0027817823671850237,Bauordnungen müssten regelmäßig auf den Stand der Technik gebracht und entschlackt werden. Bauordnung ist tlw indirekte Wirtschaftsförderung
40,185,94.6%,0.7518518518518519,0.0009005186273757098,Wohnen in Bestandsbauten soll gegenüber Wohnen in Neubauten stärker gefördert werden (z.B. durch Adaptierung der Wohnbauförderung).
41,65,93.8%,0.744718309859155,0.0063992302128273995,Erneuerbare Energien sollten mehr propagiert und gefördert und die Vorschriften einfacher werden
42,215,92.7%,0.7428571428571429,0.0005309941874405229,"Thermische Altbau-Sanierungsrate durch attraktive Angebote, Info- und Ausbildungsinitiative wesentlich, auf über 5% erhöhen."
43,184,92.1%,0.7414187643020594,0.0009450519885183849,Asphaltwüste bei Siedlungsanlagen verbieten. Verpflichtende Grünflächen und Nachpflanzung von Bäumen. Gemeinschaftsnutzgarten mit Hochbeeten
44,106,94.4%,0.7364864864864865,0.003320206046929683,"Städte, Gemeinden und Dörfer müssen grüner werden! Mehr Bäume, begrünte Dächer und Fassaden um die Bevölkerung vor der Hitze zu schützen."
45,107,94.2%,0.7359145527369827,0.0032869802587850057,"Bauprojekte (Neubau und Sanierungen) müssen über den gesamten Lebenszyklus betrachtet werden, nicht nur Errichtung und Nutzung auch Rückbau"
46,194,94.1%,0.735576923076923,0.0007662585753674883,"Orts und Regional Entwicklung muss Wald, Baum und Wasser verpflichtend schützen um CO2 zu vermindern."
47,30,90.9%,0.7336392439637277,0.027316314996801018,"Nicht nur Klimaschutz, das Thema Nachhaltigkeit allgemein"
48,109,91.4%,0.73125,0.003106134222142445,Beteiligung an Wind- & PV-Kraftwerken mit steuerfreier Stromlieferung an Wohnungen in mehrgeschoßigem Wohnbau als Hauptwohnsitz ermöglichen.
49,40,86.8%,0.7249633162142333,0.020448257834915395,Flächenwidmungen sollten mit den Grundstücksgrenzen übereinstimmen -  Ungenauigkeiten bereinigen.
50,15,92.5%,0.7193245877456405,0.03975719637132914,"Mehr städtische Begrünung: Fassaden, Hausdächer, Freiflächen, echte Grünraumgestaltung statt nur Rasenflächen, inkl. Bäumen, Hecken, Wiesen"
51,228,88.9%,0.7105263157894737,0.000384830998502505,"Mix von Wohnraum in allen Grössen für entsprechende Lebensabschnitte, auch mit Badezimmern mit Ausstattung für Ältere u Behinderte möglich."
52,156,88.3%,0.7102272727272727,0.0017016034659992996,Jeder sollte durch photovoltaik selbst erzeuten und in baterien gespeicherten Strom ohne Ansuchen u. Bewilligungen nutzen dürfen
53,190,94.4%,0.7095516569200779,0.0008093003716989131,Gemeinnützige Modelle sollten forciert werden. Es muss um den Klimaschutz gehen und nicht um die Gewinnmaximierung von Konzernen.
54,95,90.5%,0.7053968253968254,0.003904369528406109,Städte: leerstehende Büroräumlichkeiten und ehemalige Geschäftslokale sollen zu Wohnungen umgebaut werden.
55,138,88.6%,0.7018533440773569,0.001994399886856577,Mehr unabhängige Energieberatungen der Energieagenturen. Aktuell viel zu wenig Unterstützung beim Umstieg.
56,294,90.5%,0.7012987012987013,9.413064425746883e-05,Gütesiegel vernetzen.
57,29,83.7%,0.7009823576583801,0.027742334502823023,"Heizen mit kleinen Wärmepumpen sollte auch gefördert werden, ohne Stilllegungszwang der alten Heizung, welche im Hochwinter aushelfen könnte"
58,159,88.9%,0.7002652519893899,0.0015593851006593944,"insbesondere die Landwirte sollen die Umweltschutzverordnungen (Land, Gemeinden) einhalten. Die sind ja derzeit von allem ausgenommen."
59,111,91.7%,0.6990291262135923,0.002982919219099276,Fernwärme grün ausbauen und subventionieren.
60,290,90.9%,0.6964285714285715,9.797444038920063e-05,Anteil + Qualität nicht-versiegelter Flächen pro Baugrundstück festlegen - dafür zentrale Vorgaben (Stadt/Kleinstadt/Dorf)
61,207,93.2%,0.6905370843989771,0.0005921921233413584,"In Wohnhausanlagen ermöglichen, auf allgemeinen Flächen, Blumenwiesen und Gemüsebeete anzulegen."
62,19,82.3%,0.6852134146341463,0.03549146906672603,Raus aus dem ÖL und Gas ist mit 6 Monaten zu kurz bemessen. Es gibt keine Wärmepumpen mehr am Markt
63,18,90.7%,0.6841936774709884,0.03699430681385897,Eine Flächenpotentialkarte f. d. Gewinnung von Erneuerbaren & deren Ertrag für ganz Österreich soll öffentlich zugänglich erstellt werden.
64,32,87.5%,0.6837367178276269,0.025312153637328933,Klare Regeln für die effiziente Planung von (Grundwasser)Wärmepumpen für das gesamte (Orts-)Gebiet. Im Moment First-Come-First-Serve-Prinzip
65,21,90.5%,0.6819221967963387,0.033039458560871766,"Flächenfraß von Fach- bzw. Supermärkten (Fressnapf, Kik, ...) einschränken. Mehrfachnutzung bei Neu-, & Umbauten vorschreiben."
66,98,87.1%,0.6796116504854368,0.003762216244864973,Es darf keine Benachteiligung sozial Schwacher entstehen
67,198,88.7%,0.6737804878048781,0.000692137667043289,Tiere besonders in Städten fördern (z.B. durch mehr Nistkästen / Insektenhäuser / Blumeninseln / Schutzgebiete / Begrünung)
68,236,93.5%,0.673076923076923,0.0003109521150021897,Anpassung Baustandards bzw. Bauvorschriften für Neubau und Sanierung an den Klimawandel.
69,272,87.0%,0.6722222222222222,0.0001389314276614858,"AmEnde zahlen es doch wieder ""wir"" !!!"
70,234,91.1%,0.671945701357466,0.0003409364376289395,Alternative Sanitärsysteme zur Trinkwassereinsparung und Komposterzeugung ermöglichen  und fördern (Kreisläufe schließen).
71,33,89.3%,0.671264367816092,0.024897659437119513,Vereinfachung der Regeln zur Fassadenbegrünung und mehr Unterstützung diesbezüglich vom Land/Bund
72,78,92.3%,0.6690647482014389,0.005125889380346561,"Für alle Kategorien von Neubauten verpflichtende Bauvorschriften, die minimalen Energieverbrauch für Heizen/Klimatisieren sicherstellen."
73,132,83.2%,0.668918918918919,0.0020783107651250045,in den Städten Autos in Tiefgaragen und darüber Grünanlagen errichten
74,241,90.2%,0.6682027649769585,0.00027679812456324576,Gute verzinste Staats-Wohnbauanleihen zum Umstieg auf erneuerbare Energieträger.
75,56,87.1%,0.6680622651637145,0.00880399434320213,Umstieg besser fördern
